name,chapters,first_chapter,appearances,terrain,description
A Beckoning Signal Through the Stars,69,69,1,Cosmic,Chapter 69: A Beckoning Signal Through the Stars  Luminescent azure radiance from the twin moons above rippled hypnotically across the obsidian glass surface of the placid lake. Beside its mist-veiled
A Sojourn Upon the Sands,31,31,1,Desert,"Chapter 31: A Sojourn Upon the Sands  As the first fiery fingers of dawn crested the distant hills, Uncle Matt paused at the edge of the rugged cliffs to gaze out across the endless ocean unfolding be"
A Vision of the Future,4,4,1,Mixed,Chapter 4: A Vision of the Future  The morning sun shone with blinding brightness as Uncle Matt and Bob The Magical Talking Turtle broke camp. Eager were they to resume the winding journey through the
Adrift Among the Stars,57,57,1,Cosmic,"Chapter 57: Adrift Among the Stars  Peering out the expansive viewport on the bridge, Bob watched in awe as the Cosmos Cruiser glided through a shimmering nebula, its colorful gaseous tendrils swirlin"
Adventure Realm,"2,4,7,42,66,68,69",2,7,Mixed,"more puzzling, was that Bob hails from a very distant, and very infrequently visited corner of the Adventure Realm. Rarely, if ever in her journeys has she come across anyone who had heard of her magical kin. What role could they possibly play against mythical figures of evil like the sorcerer Zara"
Alex as he too peered closely at the chains of glowing symbols and clauses woven in space before them,38,38,1,Cosmic,"est ahead would require her keenest faculties of reason.  ""How wondrous..."" breathed the Pixel Mage known as Alex as he too peered closely at the chains of glowing symbols and clauses woven in space before them. ""Like an entire civic universe underpinned by legal source code... Small, precise emenda"
As Sunshade Haven,46,46,1,Village,"The morning sun beat down as they trekked westward, keeping the towering cliffside to their right. As Sunshade Haven shrank into a speck behind them, Matt reflected on Mariam's cryptic prophecy, turning her words over in his mind. Though her divination illuminated little, it sparked intuition's fai"
Below the Harvest Moon,9,9,1,Mixed,"Chapter 9: Below the Harvest Moon  As the last shimmering portal to the celestial realms faded into the early morning mist, Uncle Matt and Bob found themselves once again on the familiar, earthen path"
Beyond the Horizon,48,48,1,Mixed,"Chapter 48: Beyond the Horizon  As Uncle Matt gazed upon the vast array of enchanted artifacts laid out before him, his mind wandered back through the many fantastical realms he and Bob had traversed"
Cataclysm's Core,55,55,1,Mixed,"Chapter 55: Cataclysm's Core  As the four companions trekked through a bleak valley towards distant jagged peaks, an unnerving stillness hung in the air. Even the ruins here seemed different - melted"
